caution_ranking,to_remove,id,author,quote,char_count
2,,49,Ralph Waldo Emerson,Truth is the property of no individual but is the treasure of all men.,70
4,x,50,Ralph Waldo Emerson,Every mind must make its choice between truth and repose. It cannot have both.,78
2,,51,Ralph Waldo Emerson,The greatest homage to truth is to use it.,42
7,x,52,Ralph Waldo Emerson,"Truth is beautiful, without doubt; but so are lies.",51
2,,53,Ralph Waldo Emerson,No man thoroughly understands a truth until he has contended against it.,72
2,,54,Ralph Waldo Emerson,"Love, and you shall be loved.",29
4,x,55,Ralph Waldo Emerson,All mankind love a lover.,25
2,,56,Ralph Waldo Emerson,Give all to love; Obey thy heart.,33
2,,57,Ralph Waldo Emerson,"The reason why all men honor love is because it looks up, and not down; aspires and not despairs.",97
6,x,58,Ralph Waldo Emerson,Thou art to me a delicious torment.,35
3,x,59,Ralph Waldo Emerson,"He who is in love is wise and is becoming wiser, sees newly every time he looks at the object beloved, drawing from it with his eyes and his mind those virtues which it possesses.",179
2,,60,Ralph Waldo Emerson,The love that you withhold is the pain that you carry.,54
6,x,61,Ralph Waldo Emerson,"Marriage is the perfection which love aimed at, ignorant of what it sought.",75
2,,62,Ralph Waldo Emerson,Beauty without grace is the hook without the bait.,50
2,x,63,Ralph Waldo Emerson,We ascribe beauty to that which is simple; which has no superfluous parts; which exactly answers its end; which stands related to all things; which is the mean of many extremes.,177
2,,64,Ralph Waldo Emerson,"Things are pretty, graceful, rich, elegant, handsome, but, until they speak to the imagination, not yet beautiful.",114
2,,65,Ralph Waldo Emerson,"Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.",88
2,,66,Ralph Waldo Emerson,"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.",98
2,,67,Ralph Waldo Emerson,Love of beauty is taste. The creation of beauty is art.,55
2,x,68,Ralph Waldo Emerson,"To the attentive eye, each moment of the year has its own beauty, and in the same fields, it beholds, every hour, a picture which was never seen before, and which shall never be seen again.",189
5,x,69,Ralph Waldo Emerson,"Beauty is the mark God sets on virtue. Every natural action is graceful; every heroic act is also decent, and causes the place and the bystanders to shine.",155
3,x,70,Ralph Waldo Emerson,"If eyes were made for seeing, then beauty is its own excuse for being.",70
2,,71,Ralph Waldo Emerson,Flowers... are a proud assertion that a ray of beauty outvalues all the utilities of the world.,95
2,,72,Plotinus,Truth is the agreement of the mind with itself.,47
4,x,73,Plotinus,"Knowledge has three degrees 6opinion, science, illumination. The means or instrument of the first is sense; of the second, dialectic; of the third, intuition. To the last I subordinate reason. It is absolute knowledge founded on the identity of the mind knowing with the object known.",284
2,,74,Plotinus,Truth is self-accordance; it affirms and is nothing other than itself and is nothing other.,91
4,x,75,Plotinus,"We must close our eyes and invoke a new manner of seeing... a wakefulness that is the birthright of us all, though few put it to use.",133
2,,76,Plotinus,The highest truth can only be realized through intense contemplation and inner stillness.,89
3,x,77,Plotinus,"What is Love? A God, a Celestial Spirit, a state of mind? Or is it, perhaps, sometimes to be thought of as a God or Spirit and sometimes merely as an experience?",161
4,x,78,Plotinus,"It is sound, I think, to find the primal source of Love in a tendency of the Soul towards pure beauty, in a recognition, in a kinship, in an unreasoned consciousness of friendly relation.",187
4,x,79,Plotinus,"Pure Love seeks the beauty alone, whether there is Reminiscence or not; but there are those that feel, also, a desire of such immortality as lies within mortal reach; and these are seeking Beauty in their demand for perpetuity, the desire of the eternal.",254
3,x,80,Plotinus,"Love, thus, is ever intent upon that other loveliness, and exists to be the medium between desire and that object of desire.",124
4,x,81,Plotinus,"Love, therefore, is like a goad; it is without resource in itself; even winning its end, it is poor again.",106
5,x,82,Plotinus,"Being is desirable because it is identical with Beauty, and Beauty is loved because it is Being. We ourselves possess Beauty when we are true to our own being; ugliness is in going over to another order; knowing ourselves, we are beautiful; in self-ignorance, we are ugly.",272
5,x,83,Plotinus,"Withdraw into yourself and look. And if you do not find yourself beautiful yet, act as does the creator of a statue that is to be made beautiful: he cuts away here, he smoothes there, he makes this line lighter, this other purer, until a lovely face has grown upon his work. So do you also: cut away all that is excessive, straighten all that is crooked, bring light to all that is overcast, labor to make all one glow of beauty and never cease chiseling your statue, until there shall shine out on you from it the godlike splendor of virtue, until you shall see the perfect goodness surely established in the stainless shrine.",627
4,x,84,Plotinus,"The sensitive eye can never be able to survey the orb of the sun, unless strongly endued with solar fire, and participating largely of the vivid ray. Everyone therefore must become divine, and of godlike beauty, before he can gaze upon a god and the beautiful itself.",267
5,x,85,Plotinus,"We must ascend, therefore, once more to the Good, which every soul desires. If anyone has beheld It, he will know what I say, and in what manner It is beautiful, for it is as good that It is desired, and all appetency is towards goodness.",238
4,x,86,Plotinus,"The soul, borne upwards towards intellect, puts on a marvellous beauty. Intellect, and that which comes from Intellect, is the beauty which truly belongs to her and is not foreign to her; because, when united to It, and then only, is she truly soul.",249
4,x,87,Plato,"False words are not only evil in themselves, but they infect the soul with evil.",80
2,,88,Plato,You should not honor men more than truth.,41
2,,89,Plato,"Truth is the beginning of every good to the gods, and of every good to man.",75
3,x,90,Plato,"There is nothing so delightful as the hearing, or the speaking of truth.",72
6,x,91,Plato,No one is more hated than he who speaks the truth.,50
2,,92,Plato,The qualities of number appear to lead to the apprehension of truth.,68
7,x,93,Plato,Honesty is for the most part less profitable than dishonesty.,61
6,x,94,Plato,They deem him their worst enemy who tells them the truth.,57
4,x,95,Plato,"Truth is the beginning of every good thing, both in heaven and on earth.",72
4,x,96,Plato,"Seven years of silent inquiry are needful for a man to learn the truth, but fourteen in order to learn how to make it known to his fellow-men.",142
5,x,97,Plato,All I would ask you to be thinking of is the truth and not Socrates.,68
4,x,98,Plato,"What essence is to generation, that truth is to belief.",55
4,x,99,Plato,"To speak knowing the truth, among prudent and dear men, about what is greatest and dear, is a thing that is safe and encouraging.",129
3,x,100,Plato,"Renouncing the honors at which the world aims, I desire only to know the truth... and to the maximum of my power, I exhort all other men to do the same.",152
3,x,101,Plato,Truth is the source of every good thing in heaven and on earth. He who expects to be blessed and fortunate in this world should be a partaker of truth.,151
3,x,102,Plato,"And isn't it a bad thing to be deceived about the truth, and a good thing to know what the truth is? For I assume that by knowing the truth you mean knowing things as they really are.",183
4,x,103,Plato,"The philosopher is in love with truth, that is, not with the changing world of sensation, which is the object of opinion, but with the unchanging reality which is the object of knowledge.",187
3,x,104,Plato,"Truthfulness. He will never willingly tolerate an untruth, but will hate it as much as he loves truth... And is there anything more closely connected with wisdom than truth?",173
4,x,105,Plato,"What is at issue is the conversion of the mind from the twilight of error to the truth, that climb up into the real world which we shall call true philosophy.",158
2,,106,Plato,The object of knowledge is what exists and its function to know about reality.,78
4,x,107,Plato,"One trait in the philosopher's character we can assume is his love of the knowledge that reveals eternal reality, the realm unaffected by change and decay. He is in love with the whole of that reality, and will not willingly be deprived even of the most insignificant fragment of it - just like the lovers and men of ambition we described earlier on.",350
4,x,108,Plato,"Then may we not fairly plead in reply that our true lover of knowledge naturally strives for truth, and is not content with common opinion, but soars with undimmed and unwearied passion till he grasps the essential nature of things with the mental faculty fitted to do so, that is, with the faculty which is akin to reality, and which approaches and unites with it, and begets intelligence and truth as children, and is only released from travail when it has thus reached knowledge and true life and satisfaction?",513
3,x,109,Plato,And those whose hearts are fixed on Reality itself deserve the title of Philosophers.,85
5,x,110,Plato,"When the mind's eye rests on objects illuminated by truth and reality, it understands and comprehends them, and functions intelligently; but when it turns to the twilight world of change and decay, it can only form opinions, its vision is confused and its beliefs shifting, and it seems to lack intelligence.",308
2,,111,Plato,Love is simply the name for the desire and pursuit of the whole.,64
2,,112,Plato,"At the touch of love, everyone becomes a poet.",46
4,x,113,Plato,Love is born into every human being; it calls back the halves of our original nature together; it tries to make one out of two and heal the wound of human nature.,162
3,x,114,Plato,He whom love touches not walks in darkness.,43
2,,115,Plato,"Love is the joy of the good, the wonder of the wise, the amazement of the Gods.",79
2,,116,Plato,Beauty of style and harmony and grace and good rhythm depend on simplicity.,75
5,x,117,Plato,"When a beautiful soul harmonizes with a beautiful form, and the two are cast in one mould, that will be the fairest of sights to him who has the eye to contemplate the vision.",175
4,x,118,Plato,The power of the Good has taken refuge in the nature of the Beautiful.,70
2,,119,Plato,The contemplation of beauty causes the soul to grow wings.,58
4,x,120,Plato,"It seems to me that whatever else is beautiful apart from absolute beauty is beautiful because it partakes of that absolute beauty, and for no other reason.",156
2,,121,Plato,The good is the beautiful.,26
4,x,122,Plato,"For he who would proceed aright... should begin in youth to visit beautiful forms... out of that he should create fair thoughts; and soon he will of himself perceive that the beauty of one form is akin to the beauty of another, and that beauty in every form is one and the same.",278
2,,123,Confucius,The object of the superior man is truth.,40
4,x,124,Confucius,Those who know the truth are not equal to those who love it.,60
2,,125,Confucius,"Three things cannot long be hidden: the sun, the moon, and the truth.",69
2,,126,Confucius,Sincerity and truth are the basis of every virtue.,50
6,x,127,Confucius,"It is man that makes truth great, and not truth that makes man great.",69
2,,128,Confucius,To love a thing means wanting it to live.,41
5,x,129,Confucius,Can there be a love which does not make demands on its object?,62
2,x,130,Confucius,"Love others as you would love yourself, judge others as you would judge yourself, cherish others as you would cherish yourself. When you wish for others as you wish for yourself and when you protect others as you would protect yourself, that's when you can say it's true love.",276
3,x,131,Confucius,"When we are in love, we do not see the faults of our beloved.",61
2,,132,Confucius,Love is the foundation of all virtues.,38
2,,133,Confucius,"Everything has beauty, but not everyone sees it.",48
4,x,134,Confucius,Fine words and an insinuating appearance are seldom associated with true virtue.,80
5,x,135,Confucius,I have yet to meet a man as fond of high moral conduct as he is of outward appearances.,87
2,,136,Lao Tzu,"The truth is not always beautiful, nor beautiful words the truth.",65
3,x,137,Lao Tzu,The words of truth are always paradoxical.,42
4,x,138,Lao Tzu,Truthful words are not beautiful; beautiful words are not truthful. Good words are not persuasive; persuasive words are not good.,129
4,x,139,Lao Tzu,He who knows does not speak; he who speaks does not know.,57
2,,140,Lao Tzu,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",96
2,,141,Lao Tzu,"Love is of all passions the strongest, for it attacks simultaneously the head, the heart, and the senses.",105
2,,142,Lao Tzu,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.,113
2,,143,Lao Tzu,"Because of a great love, one is courageous.",43
2,,144,Lao Tzu,"Simplicity, patience, compassion. These three are your greatest treasures.",74
3,x,145,Lao Tzu,"When people see some things as beautiful, other things become ugly. When people see some things as good, other things become bad.",129
4,x,146,Lao Tzu,Under heaven all can see beauty as beauty only because there is ugliness. All can know good as good only because there is evil.,127
5,x,147,Lao Tzu,"When the people of the world all know beauty as beauty, there arises the recognition of ugliness. When they all know the good as good, there arises the recognition of evil.",172
5,x,148,Lao Tzu,"When beauty is defined, illusions of non-beauty manifest. When goodness is identified, badness becomes an option.",113
3,x,149,Lao Tzu,"All in the world know the beauty of the beautiful, and in doing this they have (the idea of) what ugliness is.",110
2,,150,Vyasa,One who speaks truth is righteous. There is nothing higher than truth.,70
4,x,151,Vyasa,Truth is one undeteriorating Brahma. Truth is the one undeteriorating Penance. Truth is the one undeteriorating sacrifice. Truth is the one undeteriorating Veda.,161
2,,152,Vyasa,"Truth alone triumphs, not falsehood.",36
3,x,153,Vyasa,A truth-telling person attains a life devoid of trouble.,56
4,x,154,Vyasa,"The desire to possess, the thirst for and the hankering after pleasure or the means thereof, preceded by a remembrance of the pleasure in one who has enjoyed it, is attachment.",176
5,x,155,Vyasa,"In all living beings exists the self-benediction, 'would that I were never to cease. May I live on.' And this self-benediction cannot exist in him who has not experienced the nature of death. And by this experience of a former life is inferred. This is the affliction of Love of Life, which flows by its own potency.",316
4,x,156,Vyasa,"Pleasure from the senses seems like nectar at first, but it is bitter as poison in the end.",91
4,x,157,Vyasa,"He who has let go of hatred, who treats all beings with kindness and compassion, who is always serene, unmoved by pain or pleasure, free of the 'I' and 'mine,' self-controlled, firm and patient, his whole mind focused on me--that is the man I love best.",253
2,,158,Vyasa,"When a person responds to the joys and sorrows of others as if they were his own, he has attained the highest state of spiritual union.",135
6,x,159,Vyasa,"O thou of beautiful face... Endued with unrivalled beauty and celestial grace of the most attractive kind, that face of thine is even like the full moon...",155
4,x,160,Vyasa,"The wise knowing the instability of youth and beauty, of life and treasure-hoards, of prosperity and the company of the loved ones, never covet them.",149
5,x,161,Vyasa,"To us all life is sacred and that sacred life is like Kali. Violent and gentle at once, savage slayer and tender lover, life and death... everything is beautiful. Immensely, indescribably, thrillingly, rapturously beautiful.",224
5,x,162,Vyasa,"Flowers, when offered to the deities gratify them immediately... they cause all the objects cherished by their worshippers to be immediately accomplished.",154
2,,163,Buddha,"Three things cannot be long hidden: the sun, the moon, and the truth.",69
4,x,164,Buddha,"Believe nothing, no matter where you read it, or who said it, no matter if I have said it, unless it agrees with your own reason and your own common sense.",155
3,x,165,Buddha,Do not believe in anything simply because you have heard it. Do not believe in anything simply because it is spoken and rumored by many. ,137
2,,166,Buddha,"Conquer anger by love, evil by good; conquer the miser with liberality, and the liar with truth.",96
2,,167,Buddha,The gift of truth excels all other gifts.,41
2,,168,Buddha,"Hatred does not cease by hatred, but only by love; this is the eternal rule.",76
2,,169,Buddha,"Radiate boundless love towards the entire world -- above, below, and across -- unhindered, without ill will, without enmity.",124
2,,170,Buddha,"Just as a mother would protect her only child with her life, even so let one cultivate a boundless love towards all beings.",123
2,,171,Buddha,"You, yourself, as much as anybody in the entire universe, deserve your love and affection.",90
6,x,172,Buddha,"If you truly loved yourself, you could never hurt another.",58
2,,173,Buddha,Love is a gift of one's innermost soul to another so both can be whole.,71
2,,174,Buddha,In separateness lies the world's great misery; in compassion lies the world's true strength.,92
2,,175,Buddha,Let a man overcome anger by love.,33
2,,176,Buddha,"If we could see the miracle of a single flower clearly, our whole life would change.",84
2,,177,Buddha,"Like a fine flower, beautiful to look at but without scent, fine words are fruitless in a man who does not act in accordance with them.",135
2,,178,Buddha,"Love is beauty and beauty is truth, and that is why in the beauty of a flower we can see the truth of the universe.",115
2,,179,Buddha,Fashion your life as a garland of beautiful deeds.,50
2,,180,Buddha,The only lasting beauty is the beauty of the heart.,51
2,,181,King Solomon,"Do not let kindness and truth leave you; Bind them around your neck, Write them on the tablet of your heart.",108
3,x,182,King Solomon,"A righteous man hates lying, But a wicked man is loathsome and comes to shame.",78
3,x,183,King Solomon,The tongue has the power of life and death.,43
6,x,184,King Solomon,The fear of the Lord is the beginning of wisdom.,48
2,,185,King Solomon,The man who walks with wise men becomes wise himself.,53
7,x,186,King Solomon,Thy love is better than wine.,29
2,,187,King Solomon,Many waters cannot quench love; rivers cannot sweep it away.,60
4,x,188,King Solomon,"Place me like a seal over your heart, like a seal on your arm; for love is as strong as death.",94
2,,189,King Solomon,"A friend loves at all times, and a brother is born for a time of adversity.",75
3,x,190,King Solomon,"Above all else, guard your heart, for everything you do flows from it.",70
7,x,191,King Solomon,Do not arouse or awaken love until it so desires.,49
5,x,192,King Solomon,A wife of noble character who can find? She is worth far more than rubies.,74
2,,193,King Solomon,"You are altogether beautiful, my darling; there is no flaw in you.",66
5,x,194,King Solomon,"How beautiful you are, my darling! Oh, how beautiful! Your eyes behind your veil are doves.",91
8,x,195,King Solomon,"How beautiful your sandaled feet, O prince's daughter! Your graceful legs are like jewels, the work of an artist's hands. Your navel is a rounded goblet that never lacks blended wine.",183
7,x,196,King Solomon,"Charm is deceptive, and beauty is fleeting; but a woman who fears the Lord is to be praised.",92
4,x,197,King Solomon,"She is more precious than rubies; nothing you desire can compare with her. Long life is in her right hand; in her left hand are riches and honor. Her ways are pleasant ways, and all her paths are peace. She is a tree of life to those who take hold of her; those who hold her fast will be blessed.",296
2,,198,Rumi,"That which is false troubles the heart, but truth brings joyous tranquility.",76
2,,199,Rumi,"This is a subtle truth. Whatever you love, you are.",51
2,,200,Rumi,"You are the Truth from foot to brow. Now, what else would you like to know?",75
2,,201,Rumi,A seeker of Truth looks beyond the apparent and contemplates the hidden.,72
2,,202,Rumi,The seeker of truth is a mirror for their neighbors.,52
2,,203,Rumi,"A pure heart, open to the Light, will be filled with the elixir of Truth.",73
2,,204,Rumi,Love is the bridge between you and everything.,46
2,,205,Rumi,"Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.",127
2,x,206,Rumi,"The minute I heard my first love story, I started looking for you, not knowing how blind that was. Lovers don't finally meet somewhere. They're in each other all along.",168
2,,207,Rumi,Let yourself be silently drawn by the stronger pull of that which you truly love.,81
2,,208,Rumi,"Close your eyes, fall in love, stay there.",42
4,x,209,Rumi,Reason is powerless in the expression of Love.,46
2,,210,Rumi,"In your light I learn how to love. In your beauty, how to make poems. ",70
2,,211,Rumi,"Love rests on no foundation. It is an endless ocean, with no beginning or end.",78
2,,212,Rumi,Goodbyes are only for those who love with their eyes. Because for those who love with heart and soul there is no such thing as separation.,138
2,,213,Rumi,Be certain that in the religion of Love there are no believers and unbelievers. Love embraces all.,98
2,,214,Rumi,Let the beauty of what you love be what you do.,47
2,,215,Rumi,Everything in the universe is a pitcher brimming with wisdom and beauty.,72
2,,216,Rumi,The only lasting beauty is the beauty of the heart.,51
2,,217,Rumi,"Beauty surrounds us, but usually we need to be walking in a garden to know it.",78
6,x,218,Rumi,"By God, when you see your beauty you will be the idol of yourself.",66
5,x,219,Rumi,"Whenever Beauty looks, Love is also there; Whenever beauty shows a rosy cheek Love lights Her fire from that flame.",115
2,,220,Rabindranath Tagore,"Facts are many, but the truth is one.",37
2,,221,Rabindranath Tagore,The water in a vessel is sparkling; the water in the sea is dark. The small truth has words which are clear; the great truth has great silence.,143
2,,222,Rabindranath Tagore,"If you shut your door to all errors, truth will be shut out.",60
2,,223,Rabindranath Tagore,The false can never grow into truth by growing in power.,56
2,,224,Rabindranath Tagore,Bigotry tries to keep truth safe in its hand with a grip that kills it.,71
2,,225,Rabindranath Tagore,Truth reveals itself in beauty.,31
2,,226,Rabindranath Tagore,The truth comes as conqueror only because we have lost the art of receiving it as guest.,88
2,,227,Rabindranath Tagore,"Love does not claim possession, but gives freedom.",50
2,,228,Rabindranath Tagore,"I seem to have loved you in numberless forms, numberless times, in life after life, in age after age forever.",109
2,,229,Rabindranath Tagore,"Love is an endless mystery, because there is no reasonable cause that could explain it.",87
2,,230,Rabindranath Tagore,"Love's gift cannot be given, it waits to be accepted.",53
2,,231,Rabindranath Tagore,Love is the only reality and it is not a mere sentiment. It is the ultimate truth that lies at the heart of creation.,117
2,,232,Rabindranath Tagore,You smiled and talked to me of nothing and I felt that for this I had been waiting long.,88
2,,233,Rabindranath Tagore,Let your love be like a moving sea between the shores of your souls.,68
2,,234,Rabindranath Tagore,"He who wants to do good, knocks at the gate; he who loves finds the door open.",78
2,,235,Rabindranath Tagore,"My heart, the bird of the wilderness, has found its sky in your eyes.",69
2,,236,Rabindranath Tagore,"Let this be my last word, that I trust in thy love.",51
2,,237,Rabindranath Tagore,Beauty is truth's smile when she beholds her own face in a perfect mirror.,74
2,,238,Rabindranath Tagore,"By plucking her petals, you do not gather the beauty of the flower.",67
2,,239,Rabindranath Tagore,"O Beauty, find thyself in love, not in the flattery of thy mirror.",66
2,,240,Rabindranath Tagore,Beauty is simply reality seen with the eyes of love.,52
3,x,241,Rabindranath Tagore,"When he has the power to see things detached from self-interest and from the insistent claims of the lust of the senses, then alone can he have the true vision of the beauty that is everywhere.",193
2,,242,Kahlil Gibran,"Say not, 'I have found the truth,' but rather, 'I have found a truth.'",70
2,,243,Kahlil Gibran,"A truth is to be known always, to be uttered sometimes.",55
2,,244,Kahlil Gibran,Truth is a deep kindness that teaches us to be content in our everyday life and share with the people the same happiness.,121
3,x,245,Kahlil Gibran,Many a doctrine is like a window pane. We see truth through it but it divides us from truth.,92
2,,246,Kahlil Gibran,"If you can see only what light reveals and hear only what sound announces, then in truth you do not see nor do you hear.",120
2,,247,Kahlil Gibran,"True light is that which radiates from within a man. It reveals the secrets of the soul to the soul and lets it rejoice in life, singing in the name of the Spirit.",163
3,x,248,Kahlil Gibran,"Love one another, but make not a bond of love: let it rather be a moving sea between the shores of your souls.",110
2,,249,Kahlil Gibran,Love possesses not nor would it be possessed; for love is sufficient unto love.,79
2,,250,Kahlil Gibran,Ever has it been that love knows not its own depth until the hour of separation.,80
2,,251,Kahlil Gibran,"If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.",110
2,,252,Kahlil Gibran,"When love beckons to you, follow him, though his ways are hard and steep.",73
2,,253,Kahlil Gibran,Beauty is eternity gazing at itself in a mirror. But you are eternity and you are the mirror.,93
4,x,254,Kahlil Gibran,Beauty is life when life unveils her holy face. But you are life and you are the veil.,86
2,,255,Kahlil Gibran,Beauty is not in the face; beauty is a light in the heart.,58
2,,256,Kahlil Gibran,"Beauty is that which attracts your soul, and that which loves to give and not to receive.",89
2,,257,Kahlil Gibran,Beauty shines brighter in the heart of him who longs for it than in the eyes of him who sees it.,96
2,,258,Percy Shelley,"In fact, the truth cannot be communicated until it is perceived.",64
3,x,259,Percy Shelley,Deep truth is imageless.,24
2,,260,Percy Shelley,"Life may change, but it may fly not; Hope may vanish, but can die not; Truth be veiled, but still it burneth; Love repulsed, - but it returneth!",144
4,x,261,Percy Shelley,Truth has always been found to promote the best interests of mankind.,69
5,x,262,Percy Shelley,"The practice of utter sincerity towards other men would avail to no good end, if they were incapable of practising it towards their own minds.",142
2,,263,Percy Shelley,Soul meets soul on lovers' lips.,32
2,,264,Percy Shelley,"All love is sweet, given or returned. Common as light is love, and its familiar voice wearies not ever.",103
6,x,265,Percy Shelley,Love is free; to promise for ever to love the same woman is not less absurd than to promise to believe the same creed; such a vow in both cases excludes us from all inquiry.,173
3,x,266,Percy Shelley,"Music, when soft voices die, Vibrates in the memory; Odours, when sweet violets sicken, Live within the sense they quicken. Rose leaves, when the rose is dead, Are heap'd for the belovèd's bed; And so thy thoughts, when thou art gone, Love itself shall slumber on.",265
3,x,267,Percy Shelley,"The fountains mingle with the river, And the rivers with the ocean; The winds of heaven mix forever, With a sweet emotion; Nothing in the world is single; All things, by a law divine, In one spirit meet and mingle. Why not I with thine?",236
2,,268,Percy Shelley,"What is Love? It is that powerful attraction towards all that we conceive, or fear, or hope beyond ourselves.",109
3,x,269,Percy Shelley,"I love Love -- though he has wings, And like light can flee, But above all other things, Spirit, I love thee -- Thou art love and life! Oh come, Make once more my heart thy home.",178
2,,270,Percy Shelley,"Poetry lifts the veil from the hidden beauty of the world, and makes familiar objects be as if they were not familiar.",118
5,x,271,Percy Shelley,"A lovely lady, garmented in light From her own beauty.",54
6,x,272,Percy Shelley,"Obscenity, which is ever blasphemy against the divine beauty in life, is a monster for which the corruption of society forever brings forth new food, which it devours in secret.",177
2,,273,Percy Shelley,"Spirit of BEAUTY, that dost consecrate With thine own hues all thou dost shine upon Of human thought or form, where art thou gone?",130
5,x,274,Percy Shelley,"The beauty of the internal nature cannot be so far concealed by its accidental vesture, but that the spirit of its form shall communicate itself to the very disguise and indicate the shape it hides from the manner in which it is worn.",234
5,x,275,Vincent van Gogh,"My great longing is to learn to make those very incorrectnesses, those deviations, remodellings, changes of reality, so that they may become, yes, untruth if you like--but more true than the literal truth.",205
3,x,276,Vincent van Gogh,I have played hell somewhat with the truthfulness of the colours.,65
2,,277,Vincent van Gogh,"To tell you the truth, I couldn't spare either the old- or the new-fashioned manner. Too many beautiful things have been done too unusually well for me to prefer one to the other systematically.",194
